Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612635,07-01-2026,NAGARAJ P S 4TH MAIN,1055,HANUMANTHAPPA D,VINOBHA  NAGAR
P252612675,08-01-2026,VAIHNAVI CONDEMNTS,1554,HANUMANTHAPPA D,BIET  ROAD
P252612676,08-01-2026,TEA LAUNGE (9481864755),1165,HANUMANTHAPPA D,BIET  ROAD
P252612677,08-01-2026,KAMAKSHI. STORE,939,HANUMANTHAPPA D,BIET  ROAD
P252612678,08-01-2026,KALLESHWARA ST BAPUJI HIGH SCHL RD,388,HANUMANTHAPPA D,BIET  ROAD
P252612679,08-01-2026,VINAYAKA PR ST (G),3249,HANUMANTHAPPA D,BIET  ROAD
P252612680,08-01-2026,VINAYAKA P S OPP AYYAPPASWAMY TEMPL,871,HANUMANTHAPPA D,BIET  ROAD
P252612681,08-01-2026,Hadi Basave shwara P/S,1420,HANUMANTHAPPA D,BIET  ROAD
P252612682,08-01-2026,CAKE BEKARES,2061,HANUMANTHAPPA D,BIET  ROAD
P252612683,08-01-2026,CHANNABASAPPA VIGITABLES,574,HANUMANTHAPPA D,BIET  ROAD
P252612684,08-01-2026,BALAJI KIRANI STORE,3251,HANUMANTHAPPA D,BIET  ROAD
P252612685,08-01-2026,SWAMY VIVEKANANDA TELE LINKS,3234,HANUMANTHAPPA D,BIET  ROAD
P252612686,08-01-2026,M N PARASHURAM,1943,HANUMANTHAPPA D,BIET  ROAD
P252612687,08-01-2026,HARSHITHA ENTERPRISES,1602,HANUMANTHAPPA D,BIET  ROAD
P252612688,08-01-2026,MANJUNATH PS NEAR VISHWA PS,380,HANUMANTHAPPA D,BIET  ROAD
P252612689,08-01-2026,AMBRESHWARA. P/S,895,HANUMANTHAPPA D,BIET  ROAD
P252612690,08-01-2026,KARTHIK TEA STALL,570,HANUMANTHAPPA D,BIET  ROAD
P252612691,08-01-2026,SRI GANESH BEKARY,311,HANUMANTHAPPA D,BIET  ROAD
P252612692,08-01-2026,THANUSHRI  BEEDA  STALL,1439,HANUMANTHAPPA D,BIET  ROAD
P252612715,09-01-2026,K2B BAKERY,3025,HANUMANTHAPPA D,T V STATION / SARASWATHI  NAGAR 
